#EventTime	EventOrigin_x	EventOrigin_y	EventDestination_x	EventDestination_y
31.174681	0	0	66	89
33.730326	34	11	22	0
33.812965	66	89	78	100
42.611028	22	0	66	3
46.323501	34	97	59	95
47.004714	59	95	64	94
47.213716	41	5	36	6
48.487897	36	6	45	5
49.880983	55	95	57	93
50.109404	43	7	47	11
51.022546	53	89	69	91
51.624604	69	91	75	100
62.221515	30	0	40	0
85.962263	65	100	81	84
89.008721	19	16	5	50
92.21616	5	50	67	44
95.978416	67	44	58	45
96.945738	33	56	42	55
98.265191	42	55	36	54
99.398625	36	54	36	63
99.759819	64	37	70	5
103.356274	30	95	72	97
105.003815	28	3	39	7
106.139608	72	97	61	93
107.847835	39	7	27	2
108.290691	73	98	70	89
109.025545	30	11	31	22
111.025997	31	22	27	23
112.856148	27	23	36	6
115.289285	36	6	35	2
116.880164	65	98	66	100
127.72578	34	0	66	9
130.65653	34	91	52	97
134.603958	52	97	47	100
148.68747	53	0	48	12
151.85275	48	12	46	56
154.636116	46	56	56	68
158.518016	56	68	86	35
161.22147	14	65	11	50
164.626056	11	50	5	45
169.314197	5	45	47	89
171.93773	53	11	91	18
176.839196	9	82	62	91
180.250219	38	9	59	14
180.832306	62	91	41	86
183.458434	41	86	35	90
183.987009	35	90	28	94
184.284749	65	10	72	6
188.328112	28	94	32	90
188.662037	68	10	75	0
190.329509	32	90	25	100
201.192228	25	100	39	95
203.18357	39	95	44	95
203.344659	61	5	56	5
206.59909	44	95	44	94
206.873669	56	5	56	6
209.472692	44	94	44	95
236.075554	59	9	100	100
238.031525	0	0	41	91
239.478568	89	59	74	67
239.989913	11	41	26	33
240.305755	74	67	83	8
240.706915	26	33	17	92
247.469049	17	92	22	62
249.694665	22	62	19	24
251.513079	19	24	8	45
257.295203	8	45	19	13
259.614989	19	13	12	38
263.911988	12	38	68	93
266.637152	32	7	36	0
267.581741	68	93	64	100
286.49734	48	50	55	24
288.281009	55	24	60	5
291.122151	60	5	33	21
294.666496	33	21	15	70
298.519487	15	70	60	99
301.877951	60	99	59	100
314.678208	41	0	70	7
317.000118	70	7	55	12
317.431748	30	93	45	88
318.875721	55	12	62	9
320.770799	62	9	73	4
321.885615	27	96	30	95
323.965809	30	95	19	98
324.304095	70	5	81	2
325.77883	19	98	35	86
329.565823	35	86	30	97
331.792997	30	97	48	87
332.298514	52	13	47	0
342.429756	61	100	66	93
343.783009	66	93	53	89
344.974937	47	11	52	14
345.483218	53	89	48	86
346.095817	52	14	53	41
349.651805	47	59	47	27
352.602839	47	27	45	40
354.424746	45	40	47	12
356.394218	47	12	99	9
376.493622	100	100	19	68
380.02212	19	68	27	65
380.840808	27	65	27	90
383.038963	27	90	49	90
386.393817	49	90	92	45
390.709116	8	55	25	94
395.609802	25	94	24	55
398.392099	24	55	24	20
401.473688	24	20	33	20
402.505899	33	20	33	35
403.23103	33	35	24	24
405.513278	24	24	29	68
409.395151	29	68	25	88
411.012684	25	88	31	99
413.899208	31	99	27	88
415.523873	27	88	29	53
417.778381	29	53	37	14
421.153644	37	14	42	16
423.251583	42	16	36	54
426.777238	36	54	32	85
429.550573	32	85	59	67
430.165209	59	67	58	70
430.180392	41	33	42	30
432.039458	42	30	47	50
435.131832	47	50	41	54
437.284701	41	54	14	55
440.931405	14	55	36	85
446.42999	36	85	41	70
448.823337	41	70	51	13
452.249359	51	13	84	12
457.0391	84	12	100	100
469.359989	23	92	38	74
470.526751	38	74	23	81
472.345004	23	81	33	56
475.81912	33	56	31	16
478.063252	31	16	35	59
483.459683	35	59	37	42
486.904146	37	42	41	84
488.642046	41	84	49	97
492.913649	49	97	40	86
495.203497	40	86	43	46
499.177369	43	46	44	13
502.131891	44	13	46	16
504.396917	54	84	55	48
506.680864	55	48	55	32
510.874655	55	32	43	28
512.290179	43	28	41	38
515.234796	41	38	61	52
516.923641	61	52	57	86
520.306956	57	86	99	72
521.958665	99	72	100	100
525.38964	0	0	1	28
560.069695	100	100	97	58
564.346571	3	42	0	49
601.18855	100	2	92	37
603.683568	8	63	38	32
605.781783	62	68	55	29
607.665948	55	29	60	27
609.742066	60	27	71	8
611.626465	71	8	67	14
614.115182	67	14	90	7
617.462705	90	7	93	7
619.152379	10	93	7	93
621.482191	93	7	94	16
626.515396	6	84	47	85
628.545296	53	15	75	10
630.785688	75	10	69	32
632.296404	31	68	35	61
633.122532	69	32	65	39
634.315811	35	61	32	72
634.786425	32	72	26	69
634.804605	68	28	74	31
635.811991	74	31	71	32
636.694376	29	68	20	67
638.163835	71	32	80	33
638.716336	20	67	22	37
639.544113	22	37	41	42
644.849345	41	42	44	35
648.45343	44	35	58	25
648.788178	58	25	44	45
654.272547	44	45	45	88
656.786591	45	88	46	66
658.984182	46	66	35	53
660.927154	35	53	36	26
662.816659	36	26	44	9
664.192536	44	9	29	28
666.398299	29	28	30	88
670.794207	30	88	54	98
672.485389	54	98	40	88
677.030895	40	88	39	58
679.627443	39	58	42	22
681.346038	42	22	45	7
683.979176	45	7	86	29
687.071588	14	71	13	69
694.414732	13	69	28	96
698.002619	28	96	32	91
699.267219	32	91	9	64
701.248096	9	64	14	100
716.077204	88	0	88	10
717.476578	88	10	94	5
719.441687	94	5	82	5
721.197109	82	5	88	27
721.755055	12	73	16	70
721.765261	88	27	84	30
723.551302	84	30	83	45
724.435673	16	70	17	55
725.762958	83	45	0	0
755.184368	100	100	74	95
761.449998	74	95	69	96
763.935874	31	4	26	15
766.375013	26	15	28	46
768.959506	28	46	27	75
770.158252	27	75	43	78
773.39886	43	78	73	100
788.511745	26	0	44	13
792.588341	44	13	37	7
793.183367	37	7	56	12
793.285266	56	87	44	88
794.786709	56	12	56	15
795.154612	44	88	44	85
797.654391	44	85	44	88
825.828045	55	9	89	47
829.859085	11	53	24	56
829.866663	89	47	76	44
830.738423	76	44	80	46
